item_id,item_des,clear weight,frequency,rebase weight,,,,,,,,
212609,Frozen Garden Peas (900-910g bag),0.7,21.9,1.05,,594.57,,,,,,
310419,White Wine - European       ,1.71,21.9,2.57,,597.14,,,,,,
212932,Frozen vegetarian ready meal   ,0.14,22,0.21,,597.35,,,,,,
420101,Coal - Household best quality (Group A) 50kg,0.82,22,1.23,,598.58,,,,,,
430537,Dishwasher Tablets            ,0.45,22,0.68,,599.26,,,,,,
430619,Complete dry dog food (2-2.5kg),1.26,22,1.9,,601.16,,,,,,
510122,MEN'S TRACKSUIT/JOGGIN BOTTOMS,0.52,22,0.78,,601.94,,,,,,
520132,Wall hanging mirror           ,1,22,1.51,,603.45,,,,,,
320121,20 Berkeley mentholated cigarettes,1.04,22.1,1.57,,605.02,,,,,,
520215,Moisturising (100-150ml),0.96,22.2,1.45,,606.47,,,,,,
212001,Concentrated fruit drink eg orange (1 litre),0.9,22.3,1.35,,607.82,,,,,,
310424,Wine box - 3 litres min abv 11%,0.54,22.3,0.81,,608.63,,,,,,
430405,Glass Ovenware Casserole dish,0.56,22.3,0.84,,609.47,,,,,,
520219,Disposable Nappies (specify type/pack size),2.4,22.3,3.61,,613.08,,,,,,
211509,Hard Regional Cheese,0.39,22.4,0.59,,613.67,,,,,,
510516,Men's training shoe-sportswear,0.9,22.4,1.35,,615.02,,,,,,
510531,Womens' Shoes High - Sensible,0.54,22.4,0.81,,615.83,,,,,,
212218,"Box/carton of chocolates, 450-500gm",1.32,22.5,1.99,,617.82,,,,,,
520238,Shower gel (150-250ml),0.48,22.5,0.72,,618.54,,,,,,
212404,"Potato Crisps, Multi-pack",1.12,22.6,1.69,,620.23,,,,,,
213003,"Coffee, Instant (100g jar)",1.5,22.7,2.26,,622.49,,,,,,
630226,Recordable CD               ,0.4,22.7,0.6,,623.09,,,,,,
211506,"Cheese spread, tub, 200g",0.65,22.8,0.98,,624.07,,,,,,
430423,Frying Pan 20-24cm            ,0.77,22.9,1.16,,625.23,,,,,,
630125,Car CD/radio autochanger (exclude fitting cost),0.12,23.1,0.18,,625.41,,,,,,
211207,"Canned Fish, Tuna, specify oil/brine/water (180-200g)",0.48,23.2,0.72,,626.13,,,,,,
211901,"Tea bags 1, packet of 80 (250g)",0.93,23.2,1.4,,627.53,,,,,,
430519,"Washing powder, automatic, 1 to 2kg (specify size)",0.45,23.2,0.68,,628.21,,,,,,
212918,"Frozen ready-cooked meal, to serve one",0.3,23.3,0.45,,628.66,,,,,,
320206,Hand Rolling Tobacco 25g,1.04,23.3,1.57,,630.23,,,,,,
510248,Women's Jeans - Own Brand,1.04,23.3,1.57,,631.8,,,,,,
211502,"Cheese Cheddar, Imported, per kg",0.52,23.6,0.78,,632.58,,,,,,
210320,"Whole sponge cake, not frozen, eg Victoria sponge (specify)",0.75,23.7,1.13,,633.71,,,,,,
520236,Women's permanent hair colourant (60-120ml),0.72,23.7,1.08,,634.79,,,,,,
630518,"Cut flowers, carnations (price per stem)",0.85,23.7,1.28,,636.07,,,,,,
211020,Cooked Ham Prepacked Sliced (100-125g) ,2.31,23.9,3.48,,639.55,,,,,,
211601,"Eggs, Large, per dozen or 2 x 6",0.52,23.9,0.78,,640.33,,,,,,
510254,Womens shorts,0.52,24,0.78,,641.11,,,,,,
430228,Bath sheet                    ,1.52,24.1,2.29,,643.4,,,,,,
510517,Women's Training Shoe,0.99,24.1,1.49,,644.89,,,,,,
211106,Frozen Prawns               ,0.36,24.2,0.54,,645.43,,,,,,
212928,"Frozen Veg Burger/grills, pack of 4, (200-400g)",0.42,24.2,0.63,,646.06,,,,,,
430326,Electric Shower Unit     ,0.88,24.2,1.32,,647.38,,,,,,
213001,"Coffee, ground, filter fine (227-250g)",0.27,24.3,0.41,,647.79,,,,,,
630341,Preschool Activity Toy       ,2.53,24.3,3.81,,651.6,,,,,,
510127,ADULT OFFICIAL FOOTBALL SHIRT,0.52,24.4,0.78,,652.38,,,,,,
510128,MEN'S BRANDED SPORT SWEATSHIRT,0.52,24.4,0.78,,653.16,,,,,,
212520,Fresh Veg-mushrooms-per kg    ,0.7,24.5,1.05,,654.21,,,,,,
210808,"Bacon, Back, per kg",2.52,24.7,3.79,,658,,,,,,
212527,Pre-packed salad      ,0.14,24.7,0.21,,658.21,,,,,,
510336,"Girl's skirt, suitable for school (5-15 years)",0.52,24.8,0.78,,658.99,,,,,,
211210,Frozen Fish Fingers        ,0.72,25,1.08,,660.07,,,,,,
430203,"Carpet, Axenminster or traditional Wilton (eg per sq. m)",1.19,25,1.79,,661.86,,,,,,
430420,Crockery set (specify contents/no place settings) ,0.56,25.1,0.84,,662.7,,,,,,
210403,"Home Killed Beef, Best Mince, per kg",0.63,25.2,0.95,,663.65,,,,,,
430132,"Mattress, 3ft/90cm (interior sprung)",1,25.2,1.51,,665.16,,,,,,
630507,House plant (eg African Violet),0.4,25.2,0.6,,665.76,,,,,,
320205,"5 cigars, specify brand (eg Hamlet, Caf¨¦ Cr¨¨me)",1.56,25.3,2.35,,668.11,,,,,,
430529,Bleach (750ml bottle),1.05,25.3,1.58,,669.69,,,,,,
430323,Cordless phone (specify digital/analogue),1.2,25.4,1.81,,671.5,,,,,,
520241,Razor Cartridge Blades        ,1.68,25.4,2.53,,674.03,,,,,,
630113,Portable CD radio cassette,0.36,25.4,0.54,,674.57,,,,,,
430119,"Kitchen Base Unit, self assembly, width 1000mm",2.25,25.7,3.39,,677.96,,,,,,
211019,Frozen Chicken Nuggets (250-500g),0.42,25.9,0.63,,678.59,,,,,,
212405,Frozen Chips (908g approx.),0.84,25.9,1.26,,679.85,,,,,,
212934,DRIED POTTED SNACK 50-120G,0.45,25.9,0.68,,680.53,,,,,,
510532,Womens' Shoes - High - Stiletto,0.63,25.9,0.95,,681.48,,,,,,
620304,Push Chair,0.32,26,0.48,,681.96,,,,,,
320115,20 Lambert & Butler kingsize,5.46,26.1,8.22,,690.18,,,,,,
430224,"Fitted bed sheet, specify size",1.12,26.2,1.69,,691.87,,,,,,
210802,"Bacon, Gammon, per kg",0.84,26.3,1.26,,693.13,,,,,,
211501,"Cheese Cheddar, Home produced, per kg",1.17,26.3,1.76,,694.89,,,,,,
210317,"Individual Fruit Pies, 6 Pack",0.75,26.4,1.13,,696.02,,,,,,
211602,"Eggs, Medium, per dozen or 2 x 6",0.52,26.4,0.78,,696.8,,,,,,
212716,"Apples, cooking (per kg)         ",0.32,26.4,0.48,,697.28,,,,,,
210214,Breakfast Cereal 1 unsweetened,2.4,26.5,3.61,,700.89,,,,,,
310406,Fortified wine eg Sherry/Port (70-75cl),0.27,26.5,0.41,,701.3,,,,,,
520109,Lady's leather handbag/ shoulder bag,0.92,26.5,1.38,,702.68,,,,,,
630134,HIFI - 2006      ,0.72,26.5,1.08,,703.76,,,,,,
430204,"Carpet, Tufted, per square metre",1.19,26.6,1.79,,705.55,,,,,,
510249,Women's Jeans - Branded      ,1.04,26.6,1.57,,707.12,,,,,,
210910,Fresh boneless chicken breast per kg,1.26,26.7,1.9,,709.02,,,,,,
510118,MEN'S CASUAL TROUSERS,1.56,26.7,2.35,,711.37,,,,,,
510246,Womens short sleeve sports top,0.52,26.7,0.78,,712.15,,,,,,
212011,"Cola flavoured drink, 2 litre bottle",1.44,26.8,2.17,,714.32,,,,,,
510528,Childs trainers-sportswear,0.36,26.8,0.54,,714.86,,,,,,
430216,"Duvet cover, specify size and if pillow cases incl.",1.12,26.9,1.69,,716.55,,,,,,
211504,"Cheese Brie, per kg",0.26,27,0.39,,716.94,,,,,,
430222,"Carpet, Tufted - 2 (per sq.metre)",1.33,27,2,,718.94,,,,,,
630343,Men's Football Boots,0.6,27,0.9,,719.84,,,,,,
320113,20 Superkings,3.64,27.2,5.48,,725.32,,,,,,
310405,Brandy (68-70cl bottle),0.45,27.3,0.68,,726,,,,,,
212311,POTATOES- BAKING PR KG,0.14,27.4,0.21,,726.21,,,,,,
310213,Lager 4 Cans - Premium ,0.8,27.4,1.2,,727.41,,,,,,
310215,Lager 4 Bottles - Premium  ,1.12,27.4,1.69,,729.1,,,,,,
320108,20 Benson & Hedges King Size,2.86,27.4,4.31,,733.41,,,,,,
510405,Women's nightdress/pyjamas (specify),1.04,27.4,1.57,,734.98,,,,,,
510428,Lady's Scarf (State material and type),1.08,27.4,1.63,,736.61,,,,,,
212408,Premium Potato Crisps/Chips   ,0.56,27.5,0.84,,737.45,,,,,,
212719,"Bananas, (per kg)                ",1.44,27.5,2.17,,739.62,,,,,,
210604,Frozen imp lamb loin chops with bone (per kg)  ,0.21,27.6,0.32,,739.94,,,,,,
430414,Gas cookers (specify make & model),0.32,27.6,0.48,,740.42,,,,,,
430206,"Curtains, Ready Made, approx. 66x72inch/168x183cm",1.6,27.8,2.41,,742.83,,,,,,
310403,"Vodka, (70cl bottle)",1.7,28,2.56,,745.39,,,,,,
510126,MENS BRANDED T-SHIRT,0.52,28,0.78,,746.17,,,,,,
510101,MENS SUIT-READY MADE,1.56,28.1,2.35,,748.52,,,,,,
510506,Women's Sandals (1),0.45,28.1,0.68,,749.2,,,,,,
510236,WOMEN'S TROUSERS-FORMAL,1.56,28.2,2.35,,751.55,,,,,,
212933,Ice cream specify flavour (500ml - 1 litre),0.66,28.5,0.99,,752.54,,,,,,
510345,Boy's branded sports top (5-15 years),1.04,28.5,1.57,,754.11,,,,,,
320112,"20 Silk Cut, Ultra Low Tar",1.82,28.6,2.74,,756.85,,,,,,
510113,MEN'S CASUAL S/SLEEVE SHIRT,0.52,28.6,0.78,,757.63,,,,,,
630520,"Mower electric (flymo, cylinder) ",0.36,28.6,0.54,,758.17,,,,,,
210321,Pack of 5-6 individually wrapped cakes,0.6,28.7,0.9,,759.07,,,,,,
630105,"Television, Colour (14inch/34cm Portable)",0.72,28.7,1.08,,760.15,,,,,,
510328,Boy's jeans (5-15 years),1.04,28.8,1.57,,761.72,,,,,,
430211,"Duvet, double, polyester filled TOG 10-13.5",1.12,28.9,1.69,,763.41,,,,,,
430536,TOILET ROLLS,2.4,28.9,3.61,,767.02,,,,,,
211904,"Tea bags 2, packet of 240 (approx 750g)",0.3,29,0.45,,767.47,,,,,,
210703,"Home Killed Pork, Loin Chops with bone, per kg",0.63,29.1,0.95,,768.42,,,,,,
211807,"Yoghurt/fromage frais, 4pk (50-125g each) ",0.91,29.1,1.37,,769.79,,,,,,
212519,Fresh Veg-onions-per kg       ,0.84,29.6,1.26,,771.05,,,,,,
320110,"20 King size filter, other Brand (eg Marlboro Lights)",3.38,29.6,5.09,,776.14,,,,,,
430307,Electric Kettle (jug-type) 3 pint/ 1.5-1.7 litre,0.4,29.6,0.6,,776.74,,,,,,
212924,FROZEN PIZZA-MED SIZE-300-450G,1.05,29.7,1.58,,778.32,,,,,,
430533,Kitchen Roll              ,0.35,29.7,0.53,,778.85,,,,,,
640406,Hotel 1 Night Price           ,6.3,30.1,9.48,,788.33,,,,,,
520126,"Sunglasses, non-designer, UV lenses",0.12,30.2,0.18,,788.51,,,,,,
630207,Compact Disc Album (top 40),3.6,30.4,5.42,,793.93,,,,,,
212529,Pre-Packed Veg Eg Baby Corn   ,0.14,30.5,0.21,,794.14,,,,,,
310422,Red Wine - New World,1.53,30.5,2.3,,796.44,,,,,,
510120,MEN'S JUMPER OR SWEATSHIRT,1.04,30.5,1.57,,798.01,,,,,,
212016,Fresh/chilled orange juice eg: tropicana (1l),0.54,30.7,0.81,,798.82,,,,,,
510215,WOMEN'S T-SHIRT,0.52,30.7,0.78,,799.6,,,,,,
510121,MEN'S CASUAL SHIRT-LONG SLEEVE,0.52,30.8,0.78,,800.38,,,,,,
630426,"Book, non-fiction, paperback (top 10 best seller)",0.9,30.8,1.35,,801.73,,,,,,
430311,Microwave oven (state if combined),0.08,30.9,0.12,,801.85,,,,,,
510410,Child's Pyjamas,0.52,31,0.78,,802.63,,,,,,
630347,Child's Baby Doll             ,1.61,31.1,2.42,,805.05,,,,,,
430317,Electric iron                 ,0.24,31.2,0.36,,805.41,,,,,,
212516,Fresh Veg-cabbage-whole-per kg,0.42,31.3,0.63,,806.04,,,,,,
430304,"Electric Cooker, 4 rings, grill and oven",0.8,31.3,1.2,,807.24,,,,,,
212712,"Kiwi Fruit, (each)",0.4,31.6,0.6,,807.84,,,,,,
310214,Lager Stubbies 4.3-7.5(ABV) [24 L,0.52,31.6,0.78,,808.62,,,,,,
520235,Sunscreen cream/lotion (specify size/SPF),1.44,31.6,2.17,,810.79,,,,,,
211105,Fresh fish -salmon fillets (per kg),0.84,31.7,1.26,,812.05,,,,,,
310401,Whisky (70cl bottle),2.4,31.7,3.61,,815.66,,,,,,
510108,MEN'S JUMPER-KNITTED,1.04,31.7,1.57,,817.23,,,,,,
510252,Women's casual trousers 2,1.04,31.7,1.57,,818.8,,,,,,
210706,"Home Killed Pork, boneless shoulder, per kg",0.63,31.8,0.95,,819.75,,,,,,
430122,Single bed (width approx. 3ft/90cm),1.5,31.8,2.26,,822.01,,,,,,
210113,Large Wholemeal Sliced Loaf ,0.6,31.9,0.9,,822.91,,,,,,
430127,Chest of Drawers,1.5,31.9,2.26,,825.17,,,,,,
430120,Coffee Table,1.25,32,1.88,,827.05,,,,,,
310420,White Wine - New World     ,1.35,32.1,2.03,,829.08,,,,,,
210111, White Sliced Loaf,1.05,32.2,1.58,,830.66,,,,,,
210406,"Home Killed Beef, Rump Steak/Popes eye steak, per kg",0.84,32.5,1.26,,831.92,,,,,,
510238,WOMEN'S SKIRT: WORK/FORMAL,1.56,32.6,2.35,,834.27,,,,,,
310207,"Draught flow bitter, 4 cans (440-500ml)",0.72,32.8,1.08,,835.35,,,,,,
430101,Double Wardrobe,1.5,32.8,2.26,,837.61,,,,,,
630424,"Book, Fiction, paperback, top 10 best seller)",1.75,33,2.63,,840.24,,,,,,
510341,Childs Trousers eg Jeans      ,0.52,33.1,0.78,,841.02,,,,,,
510344,Girl's trousers not denim (5-15 years),0.52,33.1,0.78,,841.8,,,,,,
210905,"Fresh/Chilled Chicken, per kg, state size (eg small)",0.42,33.5,0.63,,842.43,,,,,,
510104,MEN'S CASUAL JACKET/FLEECE,1.56,33.6,2.35,,844.78,,,,,,
510235,WOMEN'S TROUSERS-CASUAL,1.04,33.6,1.57,,846.35,,,,,,
630106,VHS Video Recorder,0.48,33.8,0.72,,847.07,,,,,,
430108,Double Bed (width approx. 4ft 6inch/135cm),1.5,33.9,2.26,,849.33,,,,,,
520134,Luggage Trolley Case          ,0.92,33.9,1.38,,850.71,,,,,,
430112,Sofa Bed,1.25,34.5,1.88,,852.59,,,,,,
211101,"Fresh white fish fillets, per kg (eg cod)",1.6,34.7,2.41,,855,,,,,,
212717,Apples-dessert-(per kg)         ,0.8,35,1.2,,856.2,,,,,,
510208,WOMEN'S FORMAL JACKET,1.04,35,1.57,,857.77,,,,,,
210413,"Home Killed, Beef Topside, 1st Quality, no bone, per kg",0.63,35.1,0.95,,858.72,,,,,,
310423,Bottle of champagne 70-75cl,0.9,35.2,1.35,,860.07,,,,,,
212012,"Cola flav/other fizzy drink 330ml, pack of 6/8",0.27,35.3,0.41,,860.48,,,,,,
430104,Armchair (upholstered),1.5,35.3,2.26,,862.74,,,,,,
210911,Fresh Turkey Steaks ,0.42,35.4,0.63,,863.37,,,,,,
430129,Dining room table & 4-6 chairs (specify no. chairs),0.75,35.5,1.13,,864.5,,,,,,
510233,WOMEN'S CARDIGAN,0.52,35.9,0.78,,865.28,,,,,,
430321,ELECTRIC RAZOR,1.2,36,1.81,,867.09,,,,,,
212310,POTATOES- OLD WHITE PER KG,0.98,36.2,1.48,,868.57,,,,,,
510244,Women's vest/strappy top      ,0.52,36.4,0.78,,869.35,,,,,,
630123,DVD player,0.72,36.5,1.08,,870.43,,,,,,
430333,Dishwasher (12 Place Setting)- 2005             ,0.48,36.6,0.72,,871.15,,,,,,
212528,"Fresh veg, lettuce, round (each)",0.28,36.9,0.42,,871.57,,,,,,
510206,WOMEN'S BLOUSE LONG/SHORT SLV,1.56,36.9,2.35,,873.92,,,,,,
630132,MP3 Player,0.48,37.2,0.72,,874.64,,,,,,
510251,Women's premium branded dress,0.52,37.3,0.78,,875.42,,,,,,
510212,WOMEN'S JUMPER,0.52,37.4,0.78,,876.2,,,,,,
210501,"Home Killed Lamb, Loin Chops with bone, per kg",0.42,37.8,0.63,,876.83,,,,,,
430337,Vaccum cleaner - 2006,0.56,38,0.84,,877.67,,,,,,
510342,Girls's summer jacket (5-15 years),0.52,38.3,0.78,,878.45,,,,,,
510529,Women's Ankle Boot        ,0.45,38.4,0.68,,879.13,,,,,,
212709,"Oranges, class 1, (each)",0.56,38.5,0.84,,879.97,,,,,,
430336,Fridge/freezer - 2006,0.88,38.5,1.32,,881.29,,,,,,
510253,Women's showerproof Jacket,0.52,38.6,0.78,,882.07,,,,,,
210606,"Frozen imported lamb, leg (per kg)",0.42,38.7,0.63,,882.7,,,,,,
212715,"Grapefruit, (each)",0.8,38.7,1.2,,883.9,,,,,,
310216,Lager - Pack of 12 Cans,0.84,39,1.26,,885.16,,,,,,
510219,WOMEN'S CASUAL OUTER JACKET,1.04,39.4,1.57,,886.73,,,,,,
510130,MEN'S 3/4 LENGTH CASUAL COAT,1.04,39.7,1.57,,888.3,,,,,,
510237,WOMEN'S SKIRT: CASUAL,1.56,40.1,2.35,,890.65,,,,,,
510225,WOMEN'S CAS OUTER JKT-FLEECE,1.04,40.3,1.57,,892.22,,,,,,
630126,DVD RECORDER,0,40.3,0,,892.22,,,,,,
510124,MEN'S SHORTS,0.52,40.4,0.78,,893,,,,,,
212518,Fresh Veg-carrots-per kg      ,0.42,40.6,0.63,,893.63,,,,,,
212724,Bag of organic dessert apples (state number),0.4,40.7,0.6,,894.23,,,,,,
210502,"Home Killed Lamb, Shoulder with bone, per kg",0.42,40.8,0.63,,894.86,,,,,,
630135,Widescreen TV - 2006,1.26,40.9,1.9,,896.76,,,,,,
430135,3 Piece Non-Leather Suite,1.5,41,2.26,,899.02,,,,,,
510343,Girl's winter jacket (5-15 years),0.52,41.1,0.78,,899.8,,,,,,
430137,Leather Settee                ,3.25,41.2,4.89,,904.69,,,,,,
510340,Girl's Fashion Top (12-15Y),0.52,41.4,0.78,,905.47,,,,,,
510223,WOMEN'S LONG SLV TOP-NT BLOUSE,0.52,41.8,0.78,,906.25,,,,,,
630523,Cut Flowers Lillies           ,0.85,41.9,1.28,,907.53,,,,,,
630221,Pre-Recorded Video       ,0.4,42.7,0.6,,908.13,,,,,,
212309,Potatoes-new-loose-per kg     ,0.42,42.9,0.63,,908.76,,,,,,
510250,Women's 3/4 length casual coat,0.52,43.3,0.78,,909.54,,,,,,
212526,"Fresh Veg-organic carrots,kg  ",0.14,43.4,0.21,,909.75,,,,,,
630346,Gas BBQ                       ,0.2,43.5,0.3,,910.05,,,,,,
430338,Washing Machine - 2006,1.36,44.1,2.05,,912.1,,,,,,
212710,"Avocado pear, (each)",0.64,44.7,0.96,,913.06,,,,,,
320118,20 Richmond King Size ,3.9,44.7,5.87,,918.93,,,,,,
430136,Wooden Patio Set              ,0.5,45.2,0.75,,919.68,,,,,,
510245,Womens dress (casual/formal),2.08,45.6,3.13,,922.81,,,,,,
510346,Child's jumper (18 months - 4 years),0.52,46.6,0.78,,923.59,,,,,,
212718,"Pears, dessert (per kg)          ",0.4,47.1,0.6,,924.19,,,,,,
630425,"Book, non-fiction, hard cover (top 10 best seller)",0.9,47.2,1.35,,925.54,,,,,,
510207,WOMENS SHORT SLEEVE TOP,1.56,48.6,2.35,,927.89,,,,,,
630133,Flat panel TV,1.14,50.5,1.72,,929.61,,,,,,
630222,Pre-Recorded DVD        ,2.7,51.4,4.06,,933.67,,,,,,
640212,"Theatre Admission Eves, Front Stalls (adult)",1.4,55.4,2.11,,935.78,,,,,,
212515,Fresh Veg-tomatoes-per kg     ,1.26,59,1.9,,937.68,,,,,,
212510,"Fresh Veg, Cucumber (whole)",0.42,61.5,0.63,,938.31,,,,,,
212517,Fresh Veg-sprouts-per kg      ,0.14,62.5,0.21,,938.52,,,,,,
630349,Digital Camcorders            ,1.7,62.9,2.56,,941.08,,,,,,
610304,Ultra low sulphur diesel (per 10 litres),5.95,63.5,8.96,,950.04,,,,,,
610305,Ultra low sulphur/unleaded petrol (per 10 litres),28.7,67.7,43.2,,993.24,,,,,,
212714,"Peaches, (each)",0,68.4,0,,993.24,,,,,,
212722,"Grapes, (per kg)                 ",0.96,69.6,1.45,,994.69,,,,,,
212511,"Fresh Veg, Lettuce - Iceberg",0.42,71.6,0.63,,995.32,,,,,,
212504,"Fresh Veg, Cauliflower, each",0.98,76.1,1.48,,996.8,,,,,,
212720,"Strawberries, (per kg)           ",0,81.2,0,,996.8,,,,,,
420405,Kerosene per litre (1000 litres local bulk delivery),2,93.8,3.01,,999.81,,,,,,
,,,21.8,22.3,,,,,,,,
,,664,,1000,,,,,,,,
